"","N0","N1","N2","sample_name","Bibury_Diversity"
"1",4135,560.233806227,105.206550919405,"CE.01.BS",10.6723745567573
"2",5495,765.018613341657,106.720491120773,"CE.02.BS",10.8043727076473
"3",4970,1240.04322052652,283.024889313432,"CE.03.BS",10.9062408111715
"4",5975,1146.88798540567,280.601326251541,"GUA.5.BS",11.1217865999232
"5",4005,360.191190171095,36.0847377809955,"GUA.8A.BS",10.0436550859963
"6",6151,1473.86569766643,442.773244880791,"GUA.8B.BS",11.3573385680728
"7",5227,1078.67959669604,155.806427028394,"GUA.8C.BS",11.3630614247381
"8",5410,450.895217286596,54.0210913976996,"HAW.22B.BS",10.0474074761019
"9",5770,445.539183798423,29.1228960121176,"HAW.24A.BS",10.1332592378464
"10",6710,1272.26769251102,332.417084961849,"HAW.24B.BS",11.2402435862767
"11",6442,1168.55249607275,228.784051022778,"HAW.24C.BS",11.1406214533909
"12",5023,603.931424600246,102.234405407329,"HR.01.BS",10.398517883908
"13",5756,612.212354416329,76.5462600504575,"KAU.2A.BS",10.3895597993736
"14",6088,1126.27203026063,232.638405785719,"KAU.6A.BS",11.2526173973013
"15",3284,91.9765004994382,16.0648932788779,"KAU.8A.BS",8.13419974327484
"16",4908,357.213350817059,27.5595174073143,"LIS.10..BS",9.89100519255534
"17",4659,864.772151447291,190.007133027003,"LIS.14.BS",11.060922654126
"18",3611,280.544157749407,92.316342262851,"MAU.4A.BS",9.50025668685439
"19",5485,667.704141689574,146.31037389508,"MOO.21.BS",10.9357484003473
"20",3665,649.54934715575,150.510572139539,"MOO.27.BS",11.033381149773
"21",6324,1039.8771721939,173.742344689028,"OAH.12.BS",10.8621626716864
"22",4347,108.664802157421,11.2186294392241,"PAG.01.BS",8.42894698666187
"23",2480,240.176738825524,95.3347727852055,"PAG.05.BS",9.690054213285
"24",5456,695.137900147418,58.7558203149769,"PHR.26.BS",10.5140788340834
"25",6209,1247.42705606962,158.434699863161,"PHR.33A.BS",11.3796443696639
"26",1697,416.204961476786,141.011845458843,"PHR.33B.BS",10.2813905132694
"27",5345,634.567310949977,65.6499102024264,"PHR.33C.BS",10.544965129425
"28",5480,790.344716685726,76.4588359811658,"PHR.42.BS",10.8940672718643
"29",5673,1126.41402861881,269.260192154823,"SAI.5.BS",11.000472740298
"30",5100,478.875315076924,73.417383290906,"SAI.6.BS",10.1928632105731
"31",5943,1346.97423881501,247.644673372543,"WAK.6.BS",11.340896282685
"32",4990,583.865799241183,74.5252940877784,"WAK.8.BS",10.41316781849
"33",6438,407.534737379846,67.8389320170059,"JAR.11.BS",10.2494903869133
"34",6090,399.979520558652,41.3384728748036,"JAR.4C.BS",10.274623509032
"35",5364,350.066622040778,49.6700682574293,"JAR.8.BS",9.8034156417756
"36",6413,562.076229677358,77.1904692428186,"KIN.11.BS",10.5718833233008
"37",7310,1139.44130210252,219.056240051024,"KIN.13A.BS",11.3386926655407
"38",6506,1013.93224312965,194.534612127361,"KIN.13B.BS",11.0294182308784
"39",6989,998.870809544373,107.072744001867,"KIN.13C.BS",11.1742861521867
"40",3551,56.584432268147,8.53032742208875,"KIN.5.BS",7.61486536607936
"41",4864,641.152842430116,136.37288746997,"MOO.21b.BS",10.8316938862769
"42",4568,775.473786150442,151.014324699491,"MOO.25.BS",11.1138319528904
"43",4561,668.245088206706,167.484361242888,"MOO.27b.BS",10.8827465785849
"44",7005,1251.23782834693,329.787881730378,"OFU.3B.BS",11.3568421315471
"45",6594,1297.87173797521,304.92663030129,"OFU.3C.BS",11.2014409648605
"46",6604,528.345589583527,60.0343116722104,"OFU.4.BS",10.4560885657021
"47",6866,995.697497604734,207.665660190494,"OLO.4.BS",11.1827362370086
"48",7517,1173.53459137762,98.112306745355,"PAL.1.BS",11.4507565961897
"49",6650,769.165345179319,61.5710964614562,"PAL.17.BS",10.7835071644022
"50",6351,770.768871788697,119.808638812861,"PAL.19.BS",10.8342806636074
"51",5796,597.625406165882,36.6649355212576,"ROS.19.BS",10.5064361885733
"52",5890,605.558263937373,67.9929433406813,"ROS.25.BS",10.5224402416328
"53",6285,478.326264541456,29.3944460148713,"ROS.4.BS",10.459343112501
"54",7637,1218.09991934793,227.019160248231,"TUT.1.BS",11.4001233883697
"55",6215,489.83196999573,66.2455046985912,"TUT.11A.BS",10.3563735766974
"56",7222,1136.54858906746,295.476264628866,"TUT.11B.BS",11.2961286814393
"57",7249,1429.74174801321,362.185591108733,"TUT.22.BS",11.6250260129593
"58",5296,1566.73598401553,314.067620238707,"ART1B.SES",11.2892923852871
"59",5173,1762.72266066549,382.3549243802,"BAA1A.100",11.3687209275727
"60",5218,2126.40225325424,693.22323234926,"BAO1A.100",11.5759956440475
"61",2850,526.885864189439,189.321305645811,"BAO1A.SES",10.3416948265497
"62",4778,1425.41725854465,290.213945196296,"CE01.100",11.0598503673212
"63",4378,890.525714027831,118.344406854649,"CE01.500",10.3992825599687
"64",5250,1512.12786060742,254.851119773904,"CE02.500",11.1631583961658
"65",4955,1532.22859971907,345.96880787733,"CE03.100",11.082987677617
"66",4774,964.815423080547,162.199371475879,"CE03.500",10.6742386630479
"67",2690,414.800570683092,131.185008588964,"GUA2A.SES",10.0453072773952
"68",3584,255.316216744082,44.1864778706473,"HR01.500",9.1023341133173
"69",457,205.242268326524,97.8005338910753,"KOA1A.SES",7.88577825944849
"70",3387,988.41592365151,289.716675258893,"KUR12.SES",11.1872454258733
"71",3099,604.087959093838,104.117209942175,"MAI1.SES",10.3921129462888
"72",5544,1569.20858254296,151.073525692956,"MOO21.100",11.2252050290528
"73",2964,370.653394582558,56.4994254708756,"OFU3A.SES",9.85508572203091
"74",5797,2069.48498240336,581.183110882875,"PAG1.100",11.5074112427107
"75",5451,1315.08324880999,128.094329334498,"PAG5.100",11.0448110783449
"76",5208,2048.30462272913,500.011719681904,"PAG9.100",11.5881112963422
"77",5218,1973.17177561693,362.32731151617,"SAI5.100",11.2243313655538
"78",5373,2310.77860899305,700.304527517767,"SAI6.100",11.5107350090809
"79",2474,309.126301183516,83.7531118431711,"TWI2A.SES",9.56238781598508
"80",5490,2388.06404644099,997.435823806448,"WAK6.100",11.7891859193819
"81",7876,2773.30164134901,739.518079139387,"JAR11.100",11.537141389338
