"","Sample","Bibury_Diversity"
"146","MAU4A.100",12.1320348730578
"147","MAU4C.100",12.046452504666
"148","OAH12.100",12.303747622352
"149","PHR26.100",12.1043510323745
"150","PHR33A.100",12.216205941086
"151","PHR33B.100",12.2070824919089
"152","PHR33C.100",12.0122398924584
"153","PHR42.100",11.9395934270406
"154","WAK6b.100",11.8248111408088
"155","ART1B.500",11.6973466853728
"156","CE02.100",11.8027399414829
"157","FFS12.500",11.5019472664323
"158","FFS34.500",11.327291345537
"159","GUA2C.500",10.6413361427062
"160","GUA5.500",10.4353272199175
"161","GUA8A.500",11.4971148698939
"162","GUA8B.500",9.66224885947757
"163","GUA8C.500",10.1630416301354
"164","HAW24A.500",11.7555212204103
"165","HAW24B.500",11.2877441082304
"166","KAU2.500",11.0556853604112
"167","KAU6.500",11.6870639736959
"168","KAU8A.100",12.064828970471
"169","KUR12.500",10.7070994184268
"170","KUR34.500",10.7942926790557
"171","LIS10.500",9.81890737695723
"172","LIS14.500",11.0476541908537
"173","MAI01.500",10.3773390728405
"174","MAU4A.500",11.0335423772591
"175","MAU4B.500",10.4339072459503
"176","MAU4C.500",10.3737973075993
"177","MAU9.500",12.0069747756687
"178","MOO27.100",11.8832377937677
"179","OAH12.500",11.7335270728017
"180","PAG1.500",10.617424360715
"181","PAG5.500",11.4300493151058
"182","PAG9.500",11.7181899669695
"183","PHR26.500",11.4728038222702
"184","PHR33B.500",11.6592365577576
"185","PHR42.500",11.2491011373279
"186","SAI5.500",11.1583610896014
"187","TUT11A.100",11.9698280863649
"188","TUT11C.BS",11.4285864676075
"189","WAK8.500",9.94150020083016
"190","BAA1A_SES",10.172843515269
"191","BAA1A.500",11.20915191843
"192","BAO1A.500",10.7470840594359
"193","CE1.100",11.1970611641081
"194","CE1.500",11.6845666707328
"195","CE2.100",11.9488336386929
"196","CE3.100",11.6592588396443
"197","CE3.500",11.0297938778137
"198","CE3.BS",11.1865801582534
"199","FFS12.BS",10.8714653809684
"200","FFS34.BS",10.1507876264932
"201","GUA2.500",10.4847670663708
"202","HAW22.500",10.6030875384265
"203","HAW24C.500",10.2937072160677
"204","HR01.100",11.5089437182026
"205","KAU8.500",10.5643615045413
"206","KIN13C.100",10.9443789043421
"207","KOA1A.100",11.4694365158746
"208","KOA1A.500",10.9470725853487
"209","KOA1A.BS",10.0434893876778
"210","MAI1.BS",10.7527988213432
"211","MAI1C.BS",10.1819730197244
"212","MOO21.500",8.66348065860275
"213","MOO27.500",9.65812893262993
"214","OFU3B.100",11.8651906370736
"215","OFU3B.RED.BS",11.0831159722204
"216","OFU4A.BS",10.1667527459164
"217","PHR33A.500",10.6578981161085
"218","PHR33B.BS",11.3164838582548
"219","PHR33C.500",11.2544218569722
"220","ROS25C.500",9.97038081714163
"221","SAI6.500",11.2790568352828
"222","SAI8.100",11.9729731791535
"223","SAI8.500",10.3646372828291
"224","TWI2A.100",11.6988140429416
"225","TWI2A.500",11.326800033579
"226","TWI2A.BS",9.68444844163241
"227","WAK6.500",9.64398662478202
"228","WAK8.100",10.2759413147523
