"","eventID","Year","Month","RESET_score","date"
"66","Ransome_HAW24_HAW24C_100101_130101","2010","Apr",0,2010-04-01
"67","Ransome_KAU02_KAU02A_100101_130101","2010","Apr",0,2010-04-01
"68","Ransome_KAU06_KAU06A_100101_130101","2010","Apr",0.14,2010-04-01
"69","Ransome_KAU08_KAU08A_100101_130101","2010","Apr",0.13,2010-04-01
"70","Ransome_KUR12_KUR12A_100101_130101","2010","Apr",0.03,2010-04-01
"71","Ransome_KUR33_KUR33A_100101_130101","2010","Apr",0.02,2010-04-01
"72","Ransome_LIS10_LIS10B_100101_130101","2010","Apr",0,2010-04-01
"73","Ransome_LIS14_LIS14B_100101_130101","2010","Apr",0.02,2010-04-01
"74","Ransome_MAI01_MAI01B_100101_130101","2010","Apr",0.11,2010-04-01
"75","Ransome_OAH12_OAH12B_100101_2013","2010","Apr",0.06,2010-04-01
"76","Ransome_PHR26_PHR26A_100101_130101","2010","Apr",0.01,2010-04-01
"77","Ransome_PHR33_PHR33A_100101_130101","2010","Apr",0,2010-04-01
"78","Ransome_PHR33_PHR33B_100101_130101","2010","Apr",0,2010-04-01
"79","Ransome_PHR33_PHR33C_100101_130101","2010","Apr",0,2010-04-01
"80","Ransome_PHR42_PHR42A_100101_130101","2010","Apr",0,2010-04-01
"81","Ransome_FFS12_FFS12A_100101_130101","2010","May",0.07,2010-05-01
"82","Ransome_FFS34_FFS34A_100101_130101","2010","May",0.09,2010-05-01
"83","Ransome_HAW22_HAW22B_100101_130101","2010","May",0.07,2010-05-01
"84","Ransome_HAW24_HAW24A_100101_130101","2010","May",0.03,2010-05-01
"85","Ransome_HAW24_HAW24B_100101_130101","2010","May",0.03,2010-05-01
"86","Ransome_HAW24_HAW24C_100101_130101","2010","May",0.03,2010-05-01
"87","Ransome_KAU02_KAU02A_100101_130101","2010","May",0.02,2010-05-01
"88","Ransome_KAU06_KAU06A_100101_130101","2010","May",0.16,2010-05-01
"89","Ransome_KAU08_KAU08A_100101_130101","2010","May",0.16,2010-05-01
"90","Ransome_KUR12_KUR12A_100101_130101","2010","May",0,2010-05-01
"91","Ransome_KUR33_KUR33A_100101_130101","2010","May",0.02,2010-05-01
"92","Ransome_LIS10_LIS10B_100101_130101","2010","May",0,2010-05-01
"93","Ransome_LIS14_LIS14B_100101_130101","2010","May",0.02,2010-05-01
"94","Ransome_MAI01_MAI01B_100101_130101","2010","May",0.11,2010-05-01
"95","Ransome_OAH12_OAH12B_100101_2013","2010","May",0.08,2010-05-01
"96","Ransome_PHR26_PHR26A_100101_130101","2010","May",0.03,2010-05-01
"97","Ransome_PHR33_PHR33A_100101_130101","2010","May",0.02,2010-05-01
"98","Ransome_PHR33_PHR33B_100101_130101","2010","May",0.02,2010-05-01
"99","Ransome_PHR33_PHR33C_100101_130101","2010","May",0.02,2010-05-01
"100","Ransome_PHR42_PHR42A_100101_130101","2010","May",0.01,2010-05-01
"101","Ransome_FFS12_FFS12A_100101_130101","2010","Jun",0.11,2010-06-01
"102","Ransome_FFS34_FFS34A_100101_130101","2010","Jun",0.13,2010-06-01
"103","Ransome_HAW22_HAW22B_100101_130101","2010","Jun",0.09,2010-06-01
"104","Ransome_HAW24_HAW24A_100101_130101","2010","Jun",0.06,2010-06-01
"105","Ransome_HAW24_HAW24B_100101_130101","2010","Jun",0.06,2010-06-01
"106","Ransome_HAW24_HAW24C_100101_130101","2010","Jun",0.06,2010-06-01
"107","Ransome_KAU02_KAU02A_100101_130101","2010","Jun",0.07,2010-06-01
"108","Ransome_KAU06_KAU06A_100101_130101","2010","Jun",0.19,2010-06-01
"109","Ransome_KAU08_KAU08A_100101_130101","2010","Jun",0.18,2010-06-01
"110","Ransome_KUR12_KUR12A_100101_130101","2010","Jun",0.13,2010-06-01
"111","Ransome_KUR33_KUR33A_100101_130101","2010","Jun",0.12,2010-06-01
"112","Ransome_LIS10_LIS10B_100101_130101","2010","Jun",0.09,2010-06-01
"113","Ransome_LIS14_LIS14B_100101_130101","2010","Jun",0.14,2010-06-01
"114","Ransome_MAI01_MAI01B_100101_130101","2010","Jun",0.14,2010-06-01
"115","Ransome_OAH12_OAH12B_100101_2013","2010","Jun",0.12,2010-06-01
"116","Ransome_PHR26_PHR26A_100101_130101","2010","Jun",0.06,2010-06-01
"117","Ransome_PHR33_PHR33A_100101_130101","2010","Jun",0.08,2010-06-01
"118","Ransome_PHR33_PHR33B_100101_130101","2010","Jun",0.08,2010-06-01
"119","Ransome_PHR33_PHR33C_100101_130101","2010","Jun",0.08,2010-06-01
"120","Ransome_PHR42_PHR42A_100101_130101","2010","Jun",0.05,2010-06-01
"121","Ransome_FFS12_FFS12A_100101_130101","2010","Jul",0.12,2010-07-01
"122","Ransome_FFS34_FFS34A_100101_130101","2010","Jul",0.14,2010-07-01
"123","Ransome_HAW22_HAW22B_100101_130101","2010","Jul",0.1,2010-07-01
"124","Ransome_HAW24_HAW24A_100101_130101","2010","Jul",0.01,2010-07-01
"125","Ransome_HAW24_HAW24B_100101_130101","2010","Jul",0.01,2010-07-01
"126","Ransome_HAW24_HAW24C_100101_130101","2010","Jul",0.01,2010-07-01
"127","Ransome_KAU02_KAU02A_100101_130101","2010","Jul",0.08,2010-07-01
"128","Ransome_KAU06_KAU06A_100101_130101","2010","Jul",0.2,2010-07-01
"129","Ransome_KAU08_KAU08A_100101_130101","2010","Jul",0.18,2010-07-01
"130","Ransome_KUR12_KUR12A_100101_130101","2010","Jul",0.21,2010-07-01
"131","Ransome_KUR33_KUR33A_100101_130101","2010","Jul",0.21,2010-07-01
"132","Ransome_LIS10_LIS10B_100101_130101","2010","Jul",0.12,2010-07-01
"133","Ransome_LIS14_LIS14B_100101_130101","2010","Jul",0.13,2010-07-01
"134","Ransome_MAI01_MAI01B_100101_130101","2010","Jul",0.16,2010-07-01
"135","Ransome_OAH12_OAH12B_100101_2013","2010","Jul",0.12,2010-07-01
"136","Ransome_PHR26_PHR26A_100101_130101","2010","Jul",0.12,2010-07-01
"137","Ransome_PHR33_PHR33A_100101_130101","2010","Jul",0.14,2010-07-01
"138","Ransome_PHR33_PHR33B_100101_130101","2010","Jul",0.14,2010-07-01
"139","Ransome_PHR33_PHR33C_100101_130101","2010","Jul",0.14,2010-07-01
"140","Ransome_PHR42_PHR42A_100101_130101","2010","Jul",0.1,2010-07-01
"141","Ransome_FFS12_FFS12A_100101_130101","2010","Aug",0.11,2010-08-01
"142","Ransome_FFS34_FFS34A_100101_130101","2010","Aug",0.13,2010-08-01
"143","Ransome_HAW22_HAW22B_100101_130101","2010","Aug",0.09,2010-08-01
"144","Ransome_HAW24_HAW24A_100101_130101","2010","Aug",0.06,2010-08-01
"145","Ransome_HAW24_HAW24B_100101_130101","2010","Aug",0.06,2010-08-01
"146","Ransome_HAW24_HAW24C_100101_130101","2010","Aug",0.06,2010-08-01
"147","Ransome_KAU02_KAU02A_100101_130101","2010","Aug",0.07,2010-08-01
"148","Ransome_KAU06_KAU06A_100101_130101","2010","Aug",0.2,2010-08-01
"149","Ransome_KAU08_KAU08A_100101_130101","2010","Aug",0.18,2010-08-01
"150","Ransome_KUR12_KUR12A_100101_130101","2010","Aug",0.21,2010-08-01
"151","Ransome_KUR33_KUR33A_100101_130101","2010","Aug",0.21,2010-08-01
"152","Ransome_LIS10_LIS10B_100101_130101","2010","Aug",0.06,2010-08-01
"153","Ransome_LIS14_LIS14B_100101_130101","2010","Aug",0.11,2010-08-01
"154","Ransome_MAI01_MAI01B_100101_130101","2010","Aug",0.15,2010-08-01
"155","Ransome_OAH12_OAH12B_100101_2013","2010","Aug",0.12,2010-08-01
"156","Ransome_PHR26_PHR26A_100101_130101","2010","Aug",0.09,2010-08-01
"157","Ransome_PHR33_PHR33A_100101_130101","2010","Aug",0.09,2010-08-01
"158","Ransome_PHR33_PHR33B_100101_130101","2010","Aug",0.09,2010-08-01
"159","Ransome_PHR33_PHR33C_100101_130101","2010","Aug",0.09,2010-08-01
"160","Ransome_PHR42_PHR42A_100101_130101","2010","Aug",0.04,2010-08-01
"161","Ransome_FFS12_FFS12A_100101_130101","2010","Sep",0.13,2010-09-01
"162","Ransome_FFS34_FFS34A_100101_130101","2010","Sep",0.15,2010-09-01
"163","Ransome_HAW22_HAW22B_100101_130101","2010","Sep",0.12,2010-09-01
"164","Ransome_HAW24_HAW24A_100101_130101","2010","Sep",0.09,2010-09-01
"165","Ransome_HAW24_HAW24B_100101_130101","2010","Sep",0.09,2010-09-01
"166","Ransome_HAW24_HAW24C_100101_130101","2010","Sep",0.09,2010-09-01
"167","Ransome_KAU02_KAU02A_100101_130101","2010","Sep",0.07,2010-09-01
"168","Ransome_KAU06_KAU06A_100101_130101","2010","Sep",0.22,2010-09-01
"169","Ransome_KAU08_KAU08A_100101_130101","2010","Sep",0.22,2010-09-01
"170","Ransome_KUR12_KUR12A_100101_130101","2010","Sep",0.24,2010-09-01
"171","Ransome_KUR33_KUR33A_100101_130101","2010","Sep",0.25,2010-09-01
"172","Ransome_LIS10_LIS10B_100101_130101","2010","Sep",0.09,2010-09-01
"173","Ransome_LIS14_LIS14B_100101_130101","2010","Sep",0.15,2010-09-01
"174","Ransome_MAI01_MAI01B_100101_130101","2010","Sep",0.17,2010-09-01
"175","Ransome_OAH12_OAH12B_100101_2013","2010","Sep",0.13,2010-09-01
"176","Ransome_PHR26_PHR26A_100101_130101","2010","Sep",0.21,2010-09-01
"177","Ransome_PHR33_PHR33A_100101_130101","2010","Sep",0.2,2010-09-01
"178","Ransome_PHR33_PHR33B_100101_130101","2010","Sep",0.2,2010-09-01
"179","Ransome_PHR33_PHR33C_100101_130101","2010","Sep",0.2,2010-09-01
"180","Ransome_PHR42_PHR42A_100101_130101","2010","Sep",0.18,2010-09-01
