"FeedingType","LifeStage","Slope","Intercept","Rsquare","Fstatistic","Pvalue"
"predacious/piscivorous","adult",0.531028610582127,4.78378800257579,0.341154098535761,82.3310906945517,4.19117303972455e-16
"piscivorous","adult",0.285409207488919,7.0051761355437,0.0762549666793211,1460.96633985595,3.21527852224685e-307
"piscivorous","juvenile",0.22348012450817,8.72126450880204,0.0715818776775034,233.384440178492,8.1678674801195e-51
"piscivorous","larva / juvenile",0.652630804441673,4.96732009411791,0.502262057547569,9.08180416316189,0.0146301686798565
"piscivorous","postlarva",0.106773528674381,-2.52746573405741,0.0389698693052271,1.25705314524184,0.270820006991042
"planktivorous","adult",0.802761886290889,8.9297727419648,0.224199133583999,45.0825287172977,3.31771921399374e-10
"planktivorous","juvenile",0.168911383542267,2.61342271573404,1,NA,NA
"planktivorous","larva",0.204221090759678,-2.02432589747291,0.0876722735852068,98.3075854003906,3.45409437932635e-22
"planktivorous","larva / juvenile",0.537539976546299,5.08312949598501,0.238309967898901,36.918661170477,1.55071505486178e-08
"planktivorous","postlarva/juvenile",0.675479706794872,6.81310614810302,0.231238785388307,78.8080363840131,1.10590667174295e-16
"predacious","adult",0.321994355406025,7.72830989158596,0.146129065719435,1356.94671825975,2.36661210565006e-274
"predacious","juvenile",0.932339687360757,7.13508760327202,0.628987013196308,3560.17922469959,0
"predacious","larva",0.323614384510348,1.43204943227201,0.114146688218642,155.91463158479,9.61358023700812e-34
"predacious","larva / juvenile",0.512543148452049,3.60345069079231,0.423997091277262,357.009636853166,4.43552228318744e-60
"predacious","postlarva/juvenile",0.21164969664339,1.66714590677881,0.14416882005629,99.0513879135299,1.13623625843014e-21
"predacious","postlarva",0.15403834606651,-1.61375195212254,0.109207422360889,8.58170550266892,0.00458060708606845
"insectivorous","larva / juvenile",0.384249046154572,0.946030011005037,0.125577629410638,4.3083628793485,0.0465944025225441
