"FeedingInteraction","MeanPredatorMass","MedianPredatorMass","MeanPreyMass","MedianPreyMass","MeanSizeRatio","MedianSizeRatio"
"insectivorous",-0.19768531886863,-0.155625491649087,-2.97649490953736,-3.11903048989848,-2.77880959066873,-2.6155823718929
"piscivorous",7.71223438647517,7.97246601597457,1.63552827510992,1.81807677754543,-6.07670611136524,-5.61677109766657
"planktivorous",-2.84441552918031,-3.83506196429202,-12.2973266641226,-13.9524764130374,-9.45291113494234,-9.82552601106642
"predacious",4.77986971956942,6.4118182677099,-3.3992920045753,-1.52326021619305,-8.1791617241447,-8.29090937545023
"predacious/piscivorous",6.06403752213459,6.38012253689976,2.41088614444964,2.61006979274201,-3.65315137768494,-3.71028336277709
