"term","edf","ref.df","statistic","p.value","Model","AIC","BIC","Deviance","nobs"
"s(DHW)",2.40438491123679,2.91339355339732,4.72167862921494,0.0065858812727318,"N0",4108.08876789418,4129.96733114666,843810529.088039,228
"s(sampleSizeFractionation)",1.97542208976936,2,76.1577932117052,0,"N0",4108.08876789418,4129.96733114666,843810529.088039,228
"s(DHW)",2.63156575060716,3.1879347047627,3.70257708308037,0.0117995594240006,"N1",3663.76914017934,3686.46132108322,119950184.404738,228
"s(sampleSizeFractionation)",1.98549282531682,2,126.664473747949,0,"N1",3663.76914017934,3686.46132108322,119950184.404738,228
"s(DHW)",2.82657892533167,3.42140986612104,2.66925059280674,0.0514130262686734,"N2",3141.19570081524,3164.51670781314,12103313.7894772,228
"s(sampleSizeFractionation)",1.97384585571085,2,70.6852766800993,0,"N2",3141.19570081524,3164.51670781314,12103313.7894772,228
